ID,Nationality,DistributionChannel,MarketSegment,SRAccessibleRoom,SRCrib,SRNoAlcoholInMiniBar,SRQuietRoom,PersonRoomRatio,BookingConversionRate,Continent,AccompanyingGuest,MultipleRooms,AgeGroup,LeadTimeSegment,FloorAsked,BathAsked,BedAsked,DistanceElevatorAsked,OtherRevenue_log,TotalRevenue_log,SpendingPerPerson_log,PersonsNights_log,AvgPersonsPerBooking_log,SpendingTier
10107,ITA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,<30,Early Planner (>30 Days),HighFloor,Shower,KingSizeBed,Not specified,0.9210614405368746,1.0938916646450416,-0.6577592003270873,1.9706672181825817,1.9987563995292676,High Spender
10121,ESP,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),HighFloor,Not specified,Not specified,Not specified,1.2022576924503678,1.3008829087042362,-0.6319677868872129,2.2273821723486074,2.255380386805383,High Spender
10129,DNK,Direct,Direct,0,0,0,0,4.591513971062552,0.03924461024147855,Northern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.5090874102409446,1.0422084992418934,-0.8993456290481215,2.145921731200507,2.173948811147437,High Spender
10141,ITA,Travel Agent/Operator,Other,0,0,0,0,3.0891973561332087,0.03924461024147855,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.1304988307383568,1.5626585901518995,-0.7511820461940311,2.7111249575058602,2.7389517578086564,High Spender
10149,PRT,Corporate,Corporate,0,0,0,0,-1.2174436066642422,-7.083095564360392,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.2464088193686662,1.3193002145400026,-0.26043248129928054,1.8759909882583365,-1.8290747507661256,High Spender
10151,PRT,Corporate,Corporate,0,0,0,0,-1.6180613706454003,-11.311985043030251,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.0422465991829526,1.1947815554135888,0.012882988890855018,1.4359183890718092,-1.9420470573129047,High Spender
10183,RUS,Travel Agent/Operator,Other,0,0,0,0,3.0891973561332087,0.03924461024147855,Other,1,1,50+,Last-Minute (<7 Days),Not specified,Not specified,KingSizeBed,Not specified,0.9946332597417542,1.437282786837609,-0.3683659867566083,2.145921731200507,2.173948811147437,High Spender
10222,FRA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.6777161536733989,1.6856690795976421,-0.11345659467262686,2.2273821723486074,2.255380386805383,High Spender
10231,ESP,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,50+,Standard (7-30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.4244445915417883,1.6316522876974688,-0.18639292007771122,2.2273821723486074,2.255380386805383,High Spender
10239,PRT,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,TwinBed,Not specified,0.9919124468045151,1.2301182996125979,-0.7270299968581108,2.2273821723486074,2.255380386805383,High Spender
10251,PRT,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.119295300062717,1.759927718004914,1.5842240176925266,0.6622322579920589,0.6907850829911565,High Spender
10268,FRA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.5424728610342868,1.3756765641473787,-0.5313852010821214,2.2273821723486074,2.255380386805383,High Spender
10300,NLD,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,0.9269401971739099,0.7690623289424005,-1.3435316161473152,2.2273821723486074,2.255380386805383,High Spender
10305,FRA,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.38122738670002176,-0.00031238096339815846,-1.4609489126523927,1.306149126919944,1.334473780112232,Low Spender
10309,FRA,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.26034544148463606,-0.03491596110139549,-1.5069440070331808,1.306149126919944,1.334473780112232,Low Spender
10350,PRT,Travel Agent/Operator,Other,0,0,0,0,3.0891973561332087,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.0681161812735986,1.9569472567680601,-0.4399322863271752,2.9373855144773047,2.9651321393994188,High Spender
10359,ESP,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.2686960211888978,1.2334899821093404,-0.7225029579657429,2.2273821723486074,2.255380386805383,High Spender
10369,ESP,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,2.077420026078277,1.700983588014413,-0.09277029670602469,2.2273821723486074,2.255380386805383,High Spender
10383,FRA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.8725897887517969,0.8136576531964921,-1.2841467942654425,2.2273821723486074,2.255380386805383,High Spender
10389,FRA,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,TwinBed,Not specified,2.211967818165166,2.2004090792880575,1.8138921161364774,1.0136234420823291,1.0420517516893943,High Spender
10392,FRA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,TwinBed,Not specified,2.4515225288861426,2.4166334807483585,1.435038483277847,1.6697430342672201,1.6979388480350615,High Spender
10415,NOR,Direct,Direct,0,0,0,0,3.0891973561332087,0.03924461024147855,Northern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.121111235278856,1.524920738123904,-1.019710749572731,2.9373855144773047,2.9651321393994188,High Spender
10422,ESP,Travel Agent/Operator,Other,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,0,0,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,-2.9614720707569684,-2.0257805875521266,-0.13373347810818711,-1.9715331565316145,-1.9420470573129047,Low Spender
10427,PRT,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.0861460119526103,1.5765591365632161,0.18714031509847232,1.7759018214087134,1.8040600178327024,High Spender
10430,GBR,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Northern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.2669332931347705,0.9249090816024724,-1.135752400273175,2.2273821723486074,2.255380386805383,High Spender
10437,FRA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,0.5808462719529555,0.7641594262027981,-1.099699060650581,1.9706672181825817,1.9987563995292676,High Spender
10442,FRA,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,2.536385062018751,1.405381724893605,0.43020607044104925,1.306149126919944,1.334473780112232,High Spender
10443,PRT,Direct,Complementary,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,0,0,30-50,Last-Minute (<7 Days),Not specified,Not specified,Not specified,Not specified,-3.5828834912543805,-7.229316646121921,-7.255891196480117,-1.9715331565316145,-1.9420470573129047,Low Spender
10446,DEU,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.46604680078846544,0.6977173131195451,-1.1884325304207224,1.9706672181825817,1.9987563995292676,High Spender
10448,SWE,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Northern Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,0.9091869997249076,0.9940742379595331,-1.0433271805771207,2.2273821723486074,2.255380386805383,High Spender
